0,37
1,52
2,39
3,40
4,42
5,43
6,51
7,63
8,64
9,66
10,69
11,72
12,74
13,75
14,76
15,84
16,85
17,89
18,94
19,96
20,99
21,71
22,73
23,77
24,78
25,86
26,93
27,95
28,97
29,98
30,100
31,104
32,105
33,106
34,108
35,110
36,112
37,113
38,117
39,118
40,120
41,124
42,103
43,107
44,109
45,111
46,115
47,121
48,123
49,126
50,129
51,130
52,132
53,133
54,138
55,139
56,143
57,146
58,147
59,148
60,149
61,150
62,151
63,156
64,159
65,161
66,162
67,164
68,165
69,166
70,167
71,137
72,140
73,141
74,142
75,145
76,154
77,158
78,163
79,171
80,173
81,177
82,180
83,181
84,182
85,183
86,184
87,185
88,187
89,190
90,196
91,172
92,174
93,178
94,179
95,192
96,197
97,198
98,207
99,211
100,212
101,213
102,214
103,216
104,219
105,220
106,221
107,223
108,224
109,225
110,228
111,229
112,230
113,206
114,208
115,209
116,215
117,218
118,226
119,227
120,231
121,239
122,244
123,245
124,246
125,249
126,250
127,251
128,253
129,254
130,257
131,259
132,262
133,240
134,241
135,243
136,252
137,255
138,256
139,260
140,261
141,263
142,264
143,273
144,279
145,280
146,281
147,283
148,284
149,288
150,291
151,296
152,274
153,275
154,277
155,285
156,286
157,287
158,292
159,294
160,295
161,297
162,298
163,307
164,313
165,315
166,316
167,317
168,318
169,319
170,322
171,325
172,327
173,330
174,308
175,309
176,312
177,320
178,321
179,328
180,329
181,331
182,341
183,347
184,349
185,351
186,352
187,353
188,357
189,358
190,362
191,342
192,348
193,350
194,355
195,359
196,360
197,361
198,364
199,377
200,385
201,386
202,389
203,391
204,395
205,375
206,384
207,392
208,393
209,394
210,396
211,397
212,427
213,418
